,Unnamed: 0,Area,Year,category,subgroup1,subgroup2,subgroup3,item code,item,value,unit,Nitrogen Production (ktN)
417938,417938,France,1961,Animal productions,Livestock primary,,,1037,Fat of pigs,41740.54,t,125.22162
417939,417939,France,1961,Animal productions,Livestock primary,,,1019,"Goat fat, unrendered",426.92,t,1.28076
417940,417940,France,1961,Animal productions,Livestock primary,,,1182,Natural honey,8000.0,t,5.64
417941,417941,France,1961,Animal productions,Livestock primary,,,979,"Sheep fat, unrendered",3000.0,t,9.0
417942,417942,France,1961,Animal productions,Livestock primary,,,987,"Shorn wool, greasy, including fleece-washed shorn wool",23600.0,t,2607.8
417943,417943,France,1961,Animal productions,Livestock primary,,,1185,Silk-worm cocoons suitable for reeling,48.0,t,6.48
417944,417944,France,1961,Live animals,Live Animals,,,1107,Asses,76200.0,An,
417945,417945,France,1961,Live animals,Live Animals,,,1181,Bees,890000.0,No,
417946,417946,France,1961,Live animals,Live Animals,Cattle and Buffaloes,,866,Cattle,19501008.0,An,
417947,417947,France,1961,Live animals,Live Animals,,,1096,Horses,1728800.0,An,
417948,417948,France,1961,Live animals,Live Animals,,,1110,Mules and hinnies,67300.0,An,
417949,417949,France,1961,Live animals,Live Animals,Poultry Birds,,1057,Chickens,167000000.0,An,
417950,417950,France,1961,Live animals,Live Animals,Poultry Birds,,1068,Ducks,9000000.0,An,
417951,417951,France,1961,Live animals,Live Animals,Poultry Birds,,1072,Geese,1000000.0,An,
417952,417952,France,1961,Live animals,Live Animals,Poultry Birds,,1079,Turkeys,1600000.0,An,
417953,417953,France,1961,Live animals,Live Animals,,,1140,Rabbits and hares,38000000.0,An,
417954,417954,France,1961,Live animals,Live Animals,Sheep and Goats,,976,Sheep,9063000.0,An,
417955,417955,France,1961,Live animals,Live Animals,Sheep and Goats,,1016,Goats,1172000.0,An,
417956,417956,France,1961,Live animals,Live Animals,,,1034,Swine / pigs,8603000.0,An,
